wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-09-30_18-11-15_0002138,1.21932878787879,1.32012878787879,0.1008,46.5625,63.4375,0.805530071258545
2024-09-30_18-11-15_0002138,1.35379151515152,1.40339151515152,0.0496000000000001,50.3125,63.125,0.644664883613586
2024-09-30_18-11-15_0002138,1.42259151515152,1.48979151515152,0.0671999999999999,35.625,92.8125,0.648309886455536
2024-09-30_18-11-15_0002138,1.53299151515152,1.62099151515152,0.0880000000000001,34.6875,96.25,0.687395036220551
2024-09-30_18-11-15_0002138,1.62579151515152,1.73299151515152,0.1072,47.8125,87.1875,0.701916754245758
2024-09-30_18-11-15_0002138,1.78425424242424,1.87385424242424,0.0895999999999999,57.8125,70.625,0.652391254901886
2024-09-30_18-11-15_0002138,1.92985424242424,1.99065424242424,0.0608,58.125,65.9375,0.815686285495758
2024-09-30_18-11-15_0002138,2.5187796969697,2.6451796969697,0.1264,50,81.5625,0.668576002120972
2024-09-30_18-11-15_0002138,2.6931796969697,2.8323796969697,0.1392,48.75,70.3125,0.833229005336761
2024-09-30_18-11-15_0002138,2.8739796969697,2.95884242424242,0.0848627272727267,55.3125,71.5625,0.646856844425201
2024-09-30_18-14-18_0002160,1.02059909090909,1.12139909090909,0.1008,71.875,104.6875,0.652374267578125
2024-09-30_18-14-18_0002160,1.18379909090909,1.27179909090909,0.0879999999999999,36.5625,94.6875,0.661192715167999
2024-09-30_18-14-18_0002160,1.31969696969697,1.43169696969697,0.112,34.375,100.625,0.652666926383972
2024-09-30_18-14-18_0002160,1.46689696969697,1.60929696969697,0.1424,31.5625,95.625,0.639881610870361
2024-09-30_18-14-18_0002160,1.65079484848485,1.88439484848485,0.2336,34.6875,95.9375,0.641048610210419
2024-09-30_18-14-18_0002160,1.93719484848485,2.04119484848485,0.104,51.25,72.8125,0.716878890991211
2024-09-30_18-14-18_0002160,2.07799484848485,2.14989272727273,0.0718978787878788,56.875,74.0625,0.77485990524292
2024-09-30_18-14-18_0002160,2.20589272727273,2.24749272727273,0.0415999999999999,60.9375,75,0.844264686107635
2024-09-30_18-14-18_0002160,2.38989272727273,2.44749272727273,0.0575999999999999,61.25,69.375,0.862118780612946
2024-09-30_18-14-18_0002160,2.49379060606061,2.53539060606061,0.0415999999999999,58.125,67.8125,0.618499994277954
2024-09-30_18-14-18_0002160,2.75459060606061,2.78179060606061,0.0272000000000001,73.75,83.75,0.673388421535492
2024-09-30_18-14-18_0002160,2.89379060606061,2.98328848484848,0.0894978787878791,51.25,78.125,0.796519756317139
2024-09-30_18-14-18_0002160,3.03128848484848,3.06968848484849,0.0384000000000002,60.625,70.625,0.851695954799652
2024-09-30_18-14-18_0002160,3.11608848484848,3.19608848484848,0.0800000000000001,59.375,81.875,0.792821705341339
2024-09-30_18-14-18_0002160,3.24088848484848,3.40398636363636,0.163097878787879,44.6875,73.75,0.706249535083771
2024-09-30_18-14-18_0002160,3.46158636363636,3.52558636363636,0.0640000000000001,59.6875,68.4375,0.854633033275604
2024-09-30_18-27-33_0002251,1.01629888888889,1.18429888888889,0.168,55.3125,93.75,0.55940967798233
2024-09-30_18-27-33_0002251,1.25309888888889,1.41484666666667,0.161747777777777,57.8125,89.6875,0.677635073661804
2024-09-30_18-27-33_0002251,1.51564666666667,1.61164666666667,0.0960000000000001,58.75,86.875,0.700052559375763
